id,label,atlas_mm3,left_mm3,right_mm3,retention_%,left_fragmented,right_fragmented,lr_volume_ratio,t1_mean_left,t1_mean_right,mirror_err_mm,compactness_l,compactness_r,t1_outlier_l,t1_outlier_r,gradient_l,gradient_r,bbox_fill_l,bbox_fill_r,glcm_homo_l,glcm_homo_r,consist_score,loo_dsc,quality_score,morph_flags,tier,tier_note
11,LP,448.0,348.0,553.0,100.6,False,False,0.63,0.923,0.833,0.4,0.704,0.66,0.106,0.206,0.168,0.254,0.293,0.253,0.999,0.998,0.872,0.666,0.851,T1 outlier yuksek (0.21),TIER-1,Guvenilir — uzman dogrulamasi onerilir
12,Li,81.0,45.0,46.0,56.2,False,False,0.98,0.231,-0.178,0.9,0.719,0.702,0.022,0.217,0.671,0.68,0.25,0.213,—,—,0.635,0.536,0.648,T1 outlier yuksek (0.22),TIER-1,Guvenilir — uzman dogrulamasi onerilir
13,MAX_VOLUME,10020.0,7688.0,7423.0,75.4,False,False,1.04,0.956,0.969,0.2,0.634,0.629,0.129,0.14,0.22,0.235,0.252,0.243,0.995,0.995,0.873,0.86,0.923,T1 outlier orta (0.14),TIER-1,Guvenilir — uzman dogrulamasi onerilir
14,MDmc,207.0,142.0,120.0,63.3,False,False,1.18,0.91,0.883,0.5,0.558,0.527,0.07,0.092,0.231,0.256,0.444,0.267,—,—,0.546,0.543,0.79,—,TIER-1,Guvenilir — uzman dogrulamasi onerilir
15,MDpc,1035.0,781.0,705.0,71.8,False,False,1.11,0.878,0.782,0.4,0.623,0.616,0.117,0.177,0.222,0.246,0.39,0.382,0.998,0.998,0.79,0.705,0.85,T1 outlier yuksek (0.18),TIER-1,Guvenilir — uzman dogrulamasi onerilir
16,MGN,213.0,175.0,163.0,79.3,False,False,1.07,0.816,0.706,0.6,0.725,0.748,0.246,0.276,0.403,0.493,0.312,0.283,—,—,0.777,0.649,0.831,T1 outlier yuksek (0.28),TIER-1,Guvenilir — uzman dogrulamasi onerilir
17,MV,16.0,7.0,7.0,43.7,True,True,1.0,0.489,0.783,0.6,0.89,0.97,0.0,0.286,0.512,0.505,0.194,0.25,—,—,0.566,0.245,0.21,T1 outlier yuksek (0.29); Her iki hemisfer parcali,TIER-3,Guvenilmez — kucuk veya kotu propagate
18,Pf,187.0,149.0,151.0,80.2,False,False,0.99,0.932,0.961,0.2,0.594,0.588,0.094,0.139,0.346,0.365,0.266,0.24,—,—,0.847,0.577,0.823,T1 outlier orta (0.14),TIER-1,Guvenilir — uzman dogrulamasi onerilir
19,Po,65.0,60.0,59.0,91.5,False,False,1.02,0.942,1.186,0.5,0.744,0.753,0.067,0.0,0.141,0.161,0.333,0.328,—,—,0.87,0.489,0.709,—,TIER-1,Guvenilir — uzman dogrulamasi onerilir
20,PuA,167.0,133.0,136.0,80.5,False,False,0.98,0.943,1.045,0.1,0.673,0.758,0.113,0.044,0.088,0.088,0.317,0.36,—,—,0.876,0.491,0.784,T1 outlier orta (0.11),TIER-1,Guvenilir — uzman dogrulamasi onerilir
21,PuI,59.0,56.0,61.0,99.2,False,False,0.92,1.339,1.095,1.0,0.769,0.682,0.071,0.147,0.165,0.459,0.373,0.272,—,—,0.799,0.561,0.699,T1 outlier orta (0.15),TIER-1,Guvenilir — uzman dogrulamasi onerilir
22,PuL,388.0,353.0,397.0,96.6,False,False,0.89,1.262,1.462,0.4,0.765,0.773,0.074,0.038,0.089,0.119,0.377,0.368,—,—,0.894,0.733,0.904,—,TIER-1,Guvenilir — uzman dogrulamasi onerilir
23,PuM,1832.0,1173.0,1159.0,63.6,False,False,1.01,0.674,0.598,0.7,0.688,0.706,0.189,0.204,0.304,0.36,0.295,0.328,0.998,0.998,0.83,0.801,0.881,T1 outlier yuksek (0.20),TIER-1,Guvenilir — uzman dogrulamasi onerilir
24,Pv,7.0,8.0,0.0,57.1,False,False,80000000000.0,0.851,0.0,—,0.923,0.0,0.0,0.0,0.174,0.0,0.533,0.5,—,—,0.266,0.233,0.41,LR asimetri 80000000000.0x; Hastalar arasi tutarsiz (CV skoru=0.27),TIER-3,Guvenilmez — kucuk veya kotu propagate
25,RN,382.0,481.0,451.0,122.0,False,False,1.07,1.466,1.494,0.0,0.777,0.767,0.013,0.038,0.084,0.078,0.458,0.429,0.998,0.999,0.87,0.756,0.907,—,TIER-1,Guvenilir — uzman dogrulamasi onerilir
26,SG,59.0,38.0,31.0,58.5,False,False,1.23,1.079,0.873,0.5,0.836,0.816,0.026,0.161,0.356,0.563,0.396,0.344,—,—,0.824,0.518,0.658,T1 outlier yuksek (0.16),TIER-1,Guvenilir — uzman dogrulamasi onerilir
27,STh,239.0,291.0,272.0,117.8,False,False,1.07,1.427,1.441,0.1,0.68,0.694,0.038,0.011,0.11,0.115,0.257,0.252,0.999,0.999,0.908,0.654,0.882,—,TIER-1,Guvenilir — uzman dogrulamasi onerilir
28,VAmc,74.0,55.0,55.0,74.3,False,False,1.0,1.166,1.228,0.7,0.597,0.583,0.073,0.127,0.317,0.15,0.208,0.139,—,—,0.868,0.368,0.664,T1 outlier orta (0.13),TIER-1,Guvenilir — uzman dogrulamasi onerilir
29,VApc,565.0,465.0,469.0,82.7,False,False,0.99,1.22,1.275,0.6,0.627,0.605,0.142,0.072,0.223,0.146,0.242,0.267,—,—,0.894,0.624,0.855,T1 outlier orta (0.14),TIER-1,Guvenilir — uzman dogrulamasi onerilir
30,VLa,319.0,374.0,363.0,115.5,False,False,1.03,1.296,1.301,0.4,0.681,0.676,0.072,0.058,0.082,0.082,0.33,0.288,—,—,0.87,0.469,0.821,—,TIER-1,Guvenilir — uzman dogrulamasi onerilir
31,VLpd,760.0,640.0,637.0,84.0,False,False,1.0,1.085,1.119,0.5,0.664,0.681,0.111,0.064,0.17,0.15,0.281,0.277,0.997,0.998,0.873,0.667,0.865,T1 outlier orta (0.11),TIER-1,Guvenilir — uzman dogrulamasi onerilir
32,VLpv,743.0,854.0,784.0,110.2,False,False,1.09,1.235,1.299,0.5,0.613,0.602,0.108,0.047,0.086,0.096,0.241,0.222,0.998,0.998,0.883,0.568,0.837,T1 outlier orta (0.11),TIER-1,Guvenilir — uzman dogrulamasi onerilir
33,VM,156.0,194.0,179.0,119.6,False,False,1.08,1.299,1.36,0.3,0.632,0.657,0.067,0.039,0.124,0.122,0.198,0.255,—,—,0.876,0.463,0.782,—,TIER-1,Guvenilir — uzman dogrulamasi onerilir
34,VPI,69.0,71.0,72.0,103.6,False,False,0.99,1.227,1.33,0.2,0.786,0.745,0.042,0.014,0.103,0.114,0.394,0.343,—,—,0.881,0.499,0.717,—,TIER-1,Guvenilir — uzman dogrulamasi onerilir
35,VPLa,117.0,129.0,108.0,101.3,False,False,1.19,1.22,1.328,0.6,0.67,0.653,0.031,0.046,0.066,0.095,0.369,0.45,—,—,0.867,0.328,0.706,—,TIER-1,Guvenilir — uzman dogrulamasi onerilir
36,VPLp,553.0,529.0,511.0,94.0,False,False,1.04,1.11,1.18,0.4,0.607,0.61,0.034,0.043,0.088,0.106,0.281,0.218,—,—,0.901,0.579,0.859,—,TIER-1,Guvenilir — uzman dogrulamasi onerilir
37,VPM,186.0,200.0,189.0,104.6,False,False,1.06,1.216,1.302,0.1,0.632,0.643,0.06,0.09,0.092,0.092,0.171,0.191,—,—,0.888,0.444,0.804,—,TIER-1,Guvenilir — uzman dogrulamasi onerilir
38,global,10020.0,7688.0,7419.0,75.4,False,False,1.04,0.956,0.969,0.2,0.634,0.63,0.129,0.14,0.22,0.234,0.252,0.243,0.995,0.995,0.873,0.86,0.923,T1 outlier orta (0.14),TIER-1,Guvenilir — uzman dogrulamasi onerilir
39,mtt,57.0,41.0,49.0,78.9,False,True,0.84,1.104,1.237,0.3,0.622,0.574,0.122,0.0,0.233,0.22,0.244,0.123,—,—,0.838,0.329,0.533,T1 outlier orta (0.12); Tek hemisfer parcali,TIER-2,Belirsiz  — dikkatli inceleme gerekli
40,sPf,14.0,16.0,17.0,117.9,True,True,0.94,1.128,1.17,0.3,0.812,0.769,0.062,0.059,0.141,0.141,0.1,0.068,—,—,0.807,0.219,0.324,Her iki hemisfer parcali,TIER-3,Guvenilmez — kucuk veya kotu propagate
41,thalamus_body,339.0,188.0,170.0,52.8,False,False,1.11,0.83,0.722,0.6,0.712,0.74,0.234,0.271,0.387,0.484,0.294,0.295,—,—,0.787,0.635,0.796,T1 outlier yuksek (0.27),TIER-1,Guvenilir — uzman dogrulamasi onerilir
