id,label,atlas_mm3,left_mm3,right_mm3,retention_%,left_fragmented,right_fragmented,lr_volume_ratio,t1_mean_left,t1_mean_right,mirror_err_mm,compactness_l,compactness_r,t1_outlier_l,t1_outlier_r,gradient_l,gradient_r,bbox_fill_l,bbox_fill_r,glcm_homo_l,glcm_homo_r,consist_score,loo_dsc,quality_score,morph_flags,tier,tier_note
29,VApc,565.0,426.0,426.0,75.4,False,False,1.0,0.916,0.916,0.8,0.6,0.634,0.082,0.08,0.167,0.137,0.287,0.296,—,—,0.894,0.624,0.871,—,TIER-1,Guvenilir — uzman dogrulamasi onerilir
30,VLa,319.0,325.0,331.0,102.8,False,False,0.98,0.869,0.884,0.6,0.669,0.652,0.08,0.051,0.084,0.094,0.322,0.295,—,—,0.87,0.469,0.821,—,TIER-1,Guvenilir — uzman dogrulamasi onerilir
31,VLpd,760.0,654.0,599.0,82.4,False,False,1.09,0.785,0.78,1.4,0.7,0.669,0.073,0.072,0.143,0.102,0.291,0.239,0.998,0.998,0.873,0.667,0.881,—,TIER-1,Guvenilir — uzman dogrulamasi onerilir
32,VLpv,743.0,675.0,678.0,91.0,False,False,1.0,0.832,0.865,1.0,0.599,0.619,0.082,0.075,0.097,0.091,0.201,0.217,0.998,0.998,0.883,0.568,0.853,—,TIER-1,Guvenilir — uzman dogrulamasi onerilir
33,VM,156.0,144.0,134.0,89.1,False,False,1.07,0.847,0.849,0.4,0.645,0.651,0.076,0.022,0.126,0.143,0.187,0.193,—,—,0.876,0.463,0.782,—,TIER-1,Guvenilir — uzman dogrulamasi onerilir
34,VPI,69.0,57.0,54.0,80.4,False,False,1.06,0.864,0.903,0.4,0.789,0.771,0.053,0.111,0.108,0.12,0.38,0.321,—,—,0.881,0.499,0.701,T1 outlier orta (0.11),TIER-1,Guvenilir — uzman dogrulamasi onerilir
35,VPLa,117.0,113.0,118.0,98.7,False,False,0.96,0.826,0.89,0.9,0.648,0.665,0.0,0.025,0.056,0.067,0.353,0.421,—,—,0.867,0.328,0.706,—,TIER-1,Guvenilir — uzman dogrulamasi onerilir
36,VPLp,553.0,492.0,467.0,86.7,False,False,1.05,0.776,0.805,1.2,0.62,0.578,0.067,0.019,0.095,0.099,0.263,0.245,—,—,0.901,0.579,0.859,—,TIER-1,Guvenilir — uzman dogrulamasi onerilir
37,VPM,186.0,149.0,156.0,82.0,False,False,0.96,0.832,0.855,0.4,0.617,0.614,0.027,0.103,0.09,0.092,0.166,0.193,—,—,0.888,0.444,0.788,T1 outlier orta (0.10),TIER-1,Guvenilir — uzman dogrulamasi onerilir
38,global,10020.0,6486.0,6358.0,64.1,False,False,1.02,0.649,0.685,1.2,0.645,0.637,0.108,0.095,0.192,0.193,0.241,0.246,0.995,0.995,0.873,0.86,0.921,T1 outlier orta (0.11),TIER-1,Guvenilir — uzman dogrulamasi onerilir
39,mtt,57.0,21.0,42.0,55.3,False,True,0.5,0.879,0.873,0.1,0.73,0.612,0.0,0.0,0.201,0.19,0.219,0.147,—,—,0.838,0.329,0.523,Tek hemisfer parcali,TIER-2,Belirsiz  — dikkatli inceleme gerekli
40,sPf,14.0,8.0,6.0,50.0,True,True,1.33,0.866,0.902,0.1,0.97,1.0,0.25,0.333,0.112,0.17,0.071,0.095,—,—,0.807,0.219,0.254,T1 outlier yuksek (0.33); Her iki hemisfer parcali,TIER-3,Guvenilmez — kucuk veya kotu propagate
41,thalamus_body,339.0,159.0,147.0,45.1,False,False,1.08,0.516,0.461,0.1,0.75,0.763,0.201,0.252,0.384,0.432,0.28,0.292,—,—,0.787,0.635,0.775,T1 outlier yuksek (0.25),TIER-1,Guvenilir — uzman dogrulamasi onerilir
